okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec
11;07;PO;Marcel Jakub JAROSŁAWSKI;1078;0.29;1.38;N;M
11;08;PO;Piotr Lucjan MAJER;1230;0.33;1.57;N;M
11;09;PO;Bartłomiej BARTOS;1630;0.44;2.08;N;M
11;10;PO;Marek KRAWCZYK;1753;0.47;2.24;N;M
11;11;PO;Tomasz Piotr BORGUL;633;0.17;0.81;N;M
11;12;PO;Paweł Maciej KULESZA;1355;0.37;1.73;N;M
11;13;PO;Arkadiusz JAKSA;1902;0.51;2.43;N;M
11;14;PO;Edyta Grażyna STRUMIAN;690;0.19;0.88;N;K
11;15;PO;Paweł URBANIAK;496;0.13;0.63;N;M
11;16;PO;Ada HEICHMAN;372;0.10;0.48;N;K
11;17;PO;Sławomira MARCZAK;328;0.09;0.42;N;K
11;18;PO;Ewa Antonina BAUMANN;348;0.09;0.44;N;K
11;19;PO;Bogusława KOŁODZIEJCZAK;418;0.11;0.53;N;K
11;20;PO;Bogusława BEREŻEWSKA;297;0.08;0.38;N;K
11;21;PO;Robert Jan MAJCZYK;588;0.16;0.75;N;M
11;22;PO;Monika Katarzyna PAWLAK-SZPOTAN;615;0.17;0.79;N;K
11;23;PO;Justyna Krystyna PAŁKA;1117;0.30;1.43;N;K
11;24;PO;Artur Jerzy DUNIN;8082;2.19;10.32;T;M
11;01;PSL;Paweł Jan BEJDA;6283;1.70;21.63;T;M
11;02;PSL;Elżbieta Renata NAWROCKA;3620;0.98;12.46;N;K
11;03;PSL;Cezary Zbigniew GABRYJĄCZYK;1416;0.38;4.88;N;M
11;04;PSL;Michał Tomasz PACHOLSKI;779;0.21;2.68;N;M
11;05;PSL;Andrzej Robert GÓRCZYŃSKI;1886;0.51;6.49;N;M
11;06;PSL;Marek KAPICA;835;0.23;2.87;N;M
11;07;PSL;Andrzej Franciszek CHOWIS;1733;0.47;5.97;N;M
11;08;PSL;Tadeusz Jerzy ŚLUSAREK;1013;0.27;3.49;N;M
11;09;PSL;Sławomierz Kazimierz JANISZEWSKI;499;0.13;1.72;N;M
11;10;PSL;Zbigniew Marek STASIAK;1459;0.39;5.02;N;M
11;11;PSL;Artur Jerzy ŁAWNICZAK;1105;0.30;3.80;N;M
11;12;PSL;Justyna Magdalena JASIŃSKA;282;0.08;0.97;N;K
11;13;PSL;Lidia Małgorzata ELERT;793;0.21;2.73;N;K
11;14;PSL;Małgorzata GABRYELCZAK;485;0.13;1.67;N;K
11;15;PSL;Zofia Henryka ROGOWSKA-TYLMAN;246;0.07;0.85;N;K
11;16;PSL;Marta GAJEWSKA;352;0.10;1.21;N;K
11;17;PSL;Andrzej DANIŁOWICZ;340;0.09;1.17;N;M
11;18;PSL;Małgorzata Anna KANIA;262;0.07;0.90;N;K
11;19;PSL;Marek Jan KRAWCZYK;410;0.11;1.41;N;M
11;20;PSL;Iwona Anna OBIEDZIŃSKA;185;0.05;0.64;N;K
11;21;PSL;Dariusz SZYSZKA;313;0.08;1.08;N;M
11;22;PSL;Jarosław KLIMAS;1290;0.35;4.44;N;M
11;23;PSL;Jolanta ZIĘBA-GZIK;1625;0.44;5.59;N;K
11;24;PSL;Piotr Paweł SĘCZKOWSKI;1833;0.50;6.31;N;M
11;01;PiS;Witold Jan WASZCZYKOWSKI;32909;8.90;22.29;T;M
11;02;PiS;Grzegorz Zenon SCHREIBER;15948;4.31;10.80;T;M
11;03;PiS;Beata Anna MATEUSIAK-PIELUCHA;12059;3.26;8.17;T;K
11;04;PiS;Tadeusz Jacek WOŹNIAK;11011;2.98;7.46;T;M
11;05;PiS;Marek MATUSZEWSKI;13880;3.75;9.40;T;M
11;06;PiS;Piotr Stanisław POLAK;16637;4.50;11.27;T;M
11;07;PiS;Krzysztof CIEBIADA;6381;1.73;4.32;N;M
11;08;PiS;Łukasz Adrian RZEPECKI;9229;2.50;6.25;T;M
11;09;PiS;Jolanta Krystyna ŚMIAŁEK;2088;0.56;1.41;N;K
11;10;PiS;Wieńczysław Jerzy KAŹMIERCZAK;1578;0.43;1.07;N;M
11;11;PiS;Paweł Piotr RYCHLIK;8499;2.30;5.76;N;M
11;12;PiS;Katarzyna PAPROTA;3112;0.84;2.11;N;K
11;13;PiS;Andrzej Henryk ŚNIEGULA;1280;0.35;0.87;N;M
11;14;PiS;Anna Elżbieta DYRGOŃ-BIAŁOWĄS;430;0.12;0.29;N;K
11;15;PiS;Konrad KŁOPOTOWSKI;1357;0.37;0.92;N;M
11;16;PiS;Sylwia PRAŻNOWSKA;781;0.21;0.53;N;K
11;17;PiS;Marek Paweł ZNYK;1493;0.40;1.01;N;M
11;18;PiS;Sylwia Marianna WRZAŁA;470;0.13;0.32;N;K
11;19;PiS;Marek DRABIK;800;0.22;0.54;N;M
11;20;PiS;Piotr Andrzej ZALEWSKI;1213;0.33;0.82;N;M
11;21;PiS;Elżbieta HENKE;1071;0.29;0.73;N;K
11;22;PiS;Joanna Aneta KOCHAŃSKA;1332;0.36;0.90;N;K
11;23;PiS;Ewa Eugenia SZCZEPAŃCZYK;1104;0.30;0.75;N;K
11;24;PiS;Michał Bazyli KRZAK;2961;0.80;2.01;N;M
11;01;SLD;Cezary Roman OLEJNICZAK;16163;4.37;53.42;N;M
11;02;SLD;Marek Jan SZEWCZYK;746;0.20;2.47;N;M
11;03;SLD;Mariola Ewa HERNAS;1297;0.35;4.29;N;K
11;04;SLD;Zbigniew Stanisław KRASIŃSKI;1077;0.29;3.56;N;M
11;05;SLD;Marcin KARPIŃSKI;1333;0.36;4.41;N;M
11;06;SLD;Kinga Magdalena SOLECKA;862;0.23;2.85;N;K
11;07;SLD;Bogusław Bernard FOKS;655;0.18;2.16;N;M
11;08;SLD;Henryk Tomasz OCIEPA;472;0.13;1.56;N;M
11;09;SLD;Maria Nina PRZYTULSKA;486;0.13;1.61;N;K
11;10;SLD;Anna DIDOWICZ;632;0.17;2.09;N;K
11;11;SLD;Grażyna KRZESIŃSKA;296;0.08;0.98;N;K
11;12;SLD;Damian ROSIAK;638;0.17;2.11;N;M
11;13;SLD;Olga JĘDRYSIAK-URBAŃSKA;335;0.09;1.11;N;K
11;14;SLD;Małgorzata Stanisława MOSIŃSKA;208;0.06;0.69;N;K
11;15;SLD;Marcin BIRLET;315;0.09;1.04;N;M
11;16;SLD;Anna Jolanta CHROSTEK;415;0.11;1.37;N;K
11;17;SLD;Agnieszka PŁUCIENNIK;599;0.16;1.98;N;K
11;18;SLD;Mirosław Andrzej RUDOWSKI;41;0.01;0.14;N;M
11;19;SLD;Bogumiła Elżbieta LEWANDOWSKA;387;0.10;1.28;N;K
11;20;SLD;Janusz PAWLAK;467;0.13;1.54;N;M
11;21;SLD;Łukasz Kamil GOŁUSZKO;178;0.05;0.59;N;M
11;22;SLD;Agnieszka Katarzyna REPCZAŃSKA;341;0.09;1.13;N;K
11;23;SLD;Marek Józef GRYGLEWSKI;2313;0.63;7.64;N;M
12;01;PO;Marek Jan SOWA;20867;7.68;37.63;T;M
12;02;PO;Dorota NIEDZIELA;7967;2.93;14.37;T;K
12;03;PO;Robert Tomasz MACIASZEK;7393;2.72;13.33;N;M
12;04;PO;Joanna Grażyna BOBOWSKA;4403;1.62;7.94;N;K
12;05;PO;Maciej Józef KOŹBIAŁ;3727;1.37;6.72;N;M
12;06;PO;Stanisław LICHOSYT;1988;0.73;3.58;N;M
12;07;PO;Bartłomiej Łukasz GĘBALA;1379;0.51;2.49;N;M
12;08;PO;Piotr Paweł SZEWCZYK;1153;0.42;2.08;N;M
12;09;PO;Urszula Maria KALEMBA;763;0.28;1.38;N;K
12;10;PO;Wojciech Marek KAJDAS;920;0.34;1.66;N;M
12;11;PO;Sylwia Urszula ŻAK;929;0.34;1.68;N;K
12;12;PO;Hanna Łucja PADLIKOWSKA-LEŚNIAK;260;0.10;0.47;N;K
12;13;PO;Zofia Anna JOŃCZYK;805;0.30;1.45;N;K
12;14;PO;Magdalena Maria SOKOŁOWSKA-GAWROŃSKA;263;0.10;0.47;N;K
12;15;PO;Lucyna PRZYSTAŁ;377;0.14;0.68;N;K
12;16;PO;Tomasz ŻAK;2260;0.83;4.08;N;M
12;01;PSL;Józef KAŁA;2397;0.88;29.14;N;M
12;02;PSL;Ryszard CZAICKI;1569;0.58;19.07;N;M
12;03;PSL;Józef BUDKA;728;0.27;8.85;N;M
12;04;PSL;Bożena Halina JOPEK;491;0.18;5.97;N;K
12;05;PSL;Józef DUDZIK;508;0.19;6.18;N;M
12;06;PSL;Leszek ŁYSOŃ;478;0.18;5.81;N;M
12;07;PSL;Elżbieta Teresa SZCZYGIEŁ;237;0.09;2.88;N;K
12;08;PSL;Edyta Katarzyna KLIMOWSKA-BOBULA;290;0.11;3.53;N;K
12;09;PSL;Ewa Maria HYJEK;160;0.06;1.95;N;K
12;10;PSL;Jarosław Anatol OKOCZUK;255;0.09;3.10;N;M
12;11;PSL;Tomasz Marek JAKUBOWSKI;181;0.07;2.20;N;M
12;12;PSL;Stanisława WARTA;159;0.06;1.93;N;K
12;13;PSL;Małgorzata Maria MATUSIAK;169;0.06;2.05;N;K
12;14;PSL;Daniel Janusz JAROSZ;100;0.04;1.22;N;M
12;15;PSL;Beata Barbara WIŚNIEWSKA;189;0.07;2.30;N;K
12;16;PSL;Stefan Marian SAWICKI;315;0.12;3.83;N;M
12;01;PiS;Beata Maria SZYDŁO;96127;35.40;72.16;T;K
12;02;PiS;Marek Władysław POLAK;3345;1.23;2.51;T;M
12;03;PiS;Jarosław Piotr SZLACHETKA;9142;3.37;6.86;T;M
12;04;PiS;Krzysztof Janusz KOZIK;2524;0.93;1.89;N;M
12;05;PiS;Jarosław Ludwik JURZAK;2444;0.90;1.83;N;M
